TwitterIDsOfHumanUsers,#Friends,#BotFollowees
576967621,184,23
481016648,259,23
754659732,284,23
21257459,350,23
290734286,182,23
60295206,289,23
4097930772,205,23
8711952,317,23
335837698,241,23
2203788632,195,22
1566113330,310,22
2960017537,141,22
31107779,363,22
45689818,335,22
726845964,282,22
2933515420,138,22
55532545,299,22
232547074,291,22
3382678798,207,22
497258691,228,22
496968634,182,22
469580096,177,22
466686655,197,22
96139671,366,22
916815853,153,22
151969817,376,22
187185454,253,22
2481200448,226,22
16649872,153,22
2463415592,159,22
195188594,323,22
206532639,341,22
63517006,231,22
21131225,268,22
546039069,309,22
428628035,129,22
3943702392,223,22
2178486371,83,22
221404952,355,22
343951197,293,22
2957860783,242,22
2903963259,321,22
229851130,255,22
50650272,179,21
61728897,243,21
237345391,261,21
2393217979,306,21
407770732,171,21
198656514,207,21
806660965,200,21
769272692,149,21
1668149720,73,21
100678199,220,21
552577697,310,21
76128745,236,21
100996879,248,21
25965427,321,21
2477931252,351,21
2335765524,348,21
2210092394,208,21
1629520862,262,21
186855547,277,21
253281330,131,21
1126202310,229,21
350244854,331,21
45598301,268,21
250645562,223,21
2198357449,324,21
2151409268,300,21
636709756,265,21
3042681007,256,21
439704967,168,21
164284493,365,21
250951747,246,21
189152524,96,21
475175670,249,21
632805096,182,21
2978583408,207,21
581136968,165,21
443896569,316,21
362675330,193,21
2562324529,318,20
1021644026,176,20
217350735,197,20
2601649933,382,20
624058980,252,20
360270369,338,20
3528645202,295,20
14764956,333,20
122483591,327,20
438437579,189,20
62017536,280,20
63297174,335,20
131559802,209,20
14474989,322,20
116663132,204,20
28408224,133,20
195322597,223,20
2317290118,373,20
17498356,226,20
753397160,287,20
1435964180,264,20
1027167481,358,20
931226863,248,20
27611640,157,20
382271109,249,20
297449289,346,20
407689676,208,20
29536164,288,20
501764279,242,20
548605379,146,20
254427395,334,20
556794851,132,20
1167508879,164,20
2714432840,137,20
442443737,363,20
149038171,300,20
19406030,120,20
248134718,304,20
563781857,296,20
56706947,376,20
827287514,277,20
81592426,319,20
3015346510,98,20
2557828094,258,19
382525185,234,19
1526209446,343,19
272121120,193,19
188084143,238,19
135894129,231,19
2422320374,249,19
143397448,203,19
3005999630,344,19
481632109,216,19
486198118,228,19
33679344,275,19
168791182,243,19
28345809,262,19
3014424879,218,19
39260049,208,19
417833332,281,19
1567482860,225,19
231721237,375,19
546624895,227,19
119112245,265,19
562125685,184,19
573824373,232,19
242201256,111,19
291492315,326,19
630544784,198,19
2411423599,115,19
751144658,199,19
724907522,272,19
2505586309,240,19
60340425,184,19
2957034817,130,19
446987691,173,19
387971079,297,19
1552229736,206,19
318703449,318,19
42002841,316,19
384494633,140,19
2290331999,204,19
1438143824,282,19
2615535057,235,19
131202911,237,19
112165657,205,19
1071604010,248,19
1051181264,180,19
2707450740,116,18
400741034,295,18
95463236,361,18
63830658,260,18
1092912044,267,18
832044601,213,18
3268602666,244,18
715489820,221,18
2984951330,147,18
349485739,288,18
93941188,148,18
147900782,242,18
371832097,365,18
241240275,189,18
21671968,172,18
1137300811,149,18
436807160,348,18
323992737,229,18
485713097,149,18
2220325358,339,18
1930770414,128,18
68375375,116,18
